comparison,objective_mode,split,outcome,group_a,group_a_success,group_a_total,group_a_rate,group_a_wilson95_low,group_a_wilson95_high,group_b,group_b_success,group_b_total,group_b_rate,group_b_wilson95_low,group_b_wilson95_high,risk_difference,fisher_odds_ratio,fisher_p_value,stratify_by,stratum_count,stratified_exact_p_value,primary_test,primary_p_value,comparison_alpha,reject_at_alpha,alternative
raw_structured_vs_uniform,euclidean_raw,validation,mandatory_exception,structured_separation,9,120,0.075,0.03995711539596028,0.1364091760599377,uniform_control,5,120,0.041666666666666664,0.017926716880109515,0.09384085233703535,0.03333333333333333,1.864864864864865,0.20486390115600378,"[""n""]",3,0.2034170253571282,stratified_conditional_exact_greater,0.2034170253571282,0.025,False,greater
rounded_structured_vs_uniform,euc_2d,validation,mandatory_exception,structured_separation,9,120,0.075,0.03995711539596028,0.1364091760599377,uniform_control,5,120,0.041666666666666664,0.017926716880109515,0.09384085233703535,0.03333333333333333,1.864864864864865,0.20486390115600378,"[""n""]",3,0.2034170253571282,stratified_conditional_exact_greater,0.2034170253571282,0.025,False,greater
