analysis_group,objective_mode,split,unit,stage,count,denominator,rate
negative_calibration,euc_2d,validation,instance,mandatory_exception,0,90,0.0
negative_calibration,euc_2d,validation,instance,mandatory_with_exact_q1_baseline_defeat,0,0,
negative_calibration,euc_2d,validation,instance,mandatory_with_global_q1_explanation,0,0,
negative_calibration,euc_2d,validation,instance,mandatory_with_exclusive_q1_explanation,0,0,
negative_calibration,euc_2d,validation,instance,mandatory_with_shared_q1_explanation,0,0,
negative_calibration,euc_2d,validation,instance,mandatory_metric_q_ge_2_required,0,0,
negative_calibration,euc_2d,validation,instance,mandatory_topological_q0_infeasible,0,0,
negative_calibration,euc_2d,validation,instance,safe_positive_certificate,0,90,0.0
negative_calibration,euc_2d,validation,instance,unique_q1_minimizer_certificate,74,90,0.8222222222222222
negative_calibration,euc_2d,validation,edge,all_nonbaseline_pairs,2640,2640,1.0
negative_calibration,euc_2d,validation,edge,basic_safe_A_candidate_pairs,217,2640,0.0821969696969697
negative_calibration,euc_2d,validation,edge,safe_A_candidate_pairs,110,2640,0.041666666666666664
negative_calibration,euc_2d,validation,edge,exact_q1_minimizer_support,93,2640,0.035227272727272725
negative_calibration,euclidean_raw,validation,instance,all_objective_instances,90,90,1.0
negative_calibration,euclidean_raw,validation,instance,threshold_applicable_q0_feasible,90,90,1.0
negative_calibration,euclidean_raw,validation,instance,mandatory_exception,0,90,0.0
negative_calibration,euclidean_raw,validation,instance,mandatory_with_exact_q1_baseline_defeat,0,0,
negative_calibration,euclidean_raw,validation,instance,mandatory_with_global_q1_explanation,0,0,
negative_calibration,euclidean_raw,validation,instance,mandatory_with_exclusive_q1_explanation,0,0,
negative_calibration,euclidean_raw,validation,instance,mandatory_with_shared_q1_explanation,0,0,
negative_calibration,euclidean_raw,validation,instance,mandatory_metric_q_ge_2_required,0,0,
negative_calibration,euclidean_raw,validation,instance,mandatory_topological_q0_infeasible,0,0,
negative_calibration,euclidean_raw,validation,instance,safe_positive_certificate,0,90,0.0
negative_calibration,euclidean_raw,validation,instance,unique_q1_minimizer_certificate,76,90,0.8444444444444444
negative_calibration,euclidean_raw,validation,edge,all_nonbaseline_pairs,2640,2640,1.0
negative_calibration,euclidean_raw,validation,edge,basic_safe_A_candidate_pairs,217,2640,0.0821969696969697
negative_calibration,euclidean_raw,validation,edge,safe_A_candidate_pairs,107,2640,0.04053030303030303
negative_calibration,euclidean_raw,validation,edge,exact_q1_minimizer_support,90,2640,0.03409090909090909
positive_calibration,euc_2d,fixture,instance,all_objective_instances,1,1,1.0
positive_calibration,euc_2d,fixture,instance,threshold_applicable_q0_feasible,1,1,1.0
positive_calibration,euc_2d,fixture,instance,mandatory_exception,1,1,1.0
positive_calibration,euc_2d,fixture,instance,mandatory_with_exact_q1_baseline_defeat,1,1,1.0
positive_calibration,euc_2d,fixture,instance,mandatory_with_global_q1_explanation,1,1,1.0
positive_calibration,euc_2d,fixture,instance,mandatory_with_exclusive_q1_explanation,1,1,1.0
positive_calibration,euc_2d,fixture,instance,mandatory_with_shared_q1_explanation,0,1,0.0
positive_calibration,euc_2d,fixture,instance,mandatory_metric_q_ge_2_required,0,1,0.0
positive_calibration,euc_2d,fixture,instance,mandatory_topological_q0_infeasible,0,1,0.0
positive_calibration,euc_2d,fixture,instance,safe_positive_certificate,1,1,1.0
positive_calibration,euc_2d,fixture,instance,unique_q1_minimizer_certificate,1,1,1.0
positive_calibration,euc_2d,fixture,edge,all_nonbaseline_pairs,2,2,1.0
positive_calibration,euc_2d,fixture,edge,basic_safe_A_candidate_pairs,2,2,1.0
positive_calibration,euc_2d,fixture,edge,safe_A_candidate_pairs,1,2,0.5
positive_calibration,euc_2d,fixture,edge,exact_q1_minimizer_support,1,2,0.5
positive_calibration,euc_2d,validation,instance,all_objective_instances,90,90,1.0
positive_calibration,euc_2d,validation,instance,threshold_applicable_q0_feasible,90,90,1.0
