baseline,direct_solver_integer_lower_bound,solver_reported_integer_lower_bound,verified_feasible_upper_bound,official_optimum,warping_penalty_lower,warping_penalty_upper,restricted_exact,solver_status,iterations,sec_count,lower_bound_provenance,upper_bound_provenance,lower_bound_order_tightened
fixed_delaunay,42239,42239,42239,42029,210,210,True,optimal,13,130,SciPy/HiGHS MILP dual bound on degree-2 model plus valid subtour-elimination constraints,"LKH feasible tour independently checked for cost, Hamiltonicity, and baseline membership",False
weak_delaunay_union,42231,42231,42231,42029,202,202,True,optimal,15,136,SciPy/HiGHS MILP dual bound on degree-2 model plus valid subtour-elimination constraints,"LKH feasible tour independently checked for cost, Hamiltonicity, and baseline membership",False
